A,T,r_fntsmc_obs
0.17453292519943295,3.0,-0.16330219543496727
0.17453292519943295,3.75,-0.12193289995471261
0.17453292519943295,4.5,-0.09121996937776979
0.17453292519943295,5.25,-0.0648438145319346
0.17453292519943295,6.0,-0.05275332468454454
0.29088820866572157,3.0,-0.36571533464876527
0.29088820866572157,3.75,-0.2519460885824545
0.29088820866572157,4.5,-0.17681749372792702
0.29088820866572157,5.25,-0.1173547330771914
0.29088820866572157,6.0,-0.09900296213303583
0.40724349213201017,3.0,-0.6510697069917107
0.40724349213201017,3.75,-0.43757449382690694
0.40724349213201017,4.5,-0.3015666227033893
0.40724349213201017,5.25,-0.2018786095072215
0.40724349213201017,6.0,-0.16294897242320303
0.5235987755982988,3.0,-1.040913629389009
0.5235987755982988,3.75,-0.6860589550469385
0.5235987755982988,4.5,-0.4650041720410738
0.5235987755982988,5.25,-0.3179907628526737
0.5235987755982988,6.0,-0.25382854047129966
0.6399540590645875,3.0,-1.5378919996162854
0.6399540590645875,3.75,-0.9739945362699336
0.6399540590645875,4.5,-0.6665481379840207
0.6399540590645875,5.25,-0.46813447477862963
0.6399540590645875,6.0,-0.3677089815922331
0.7563093425308761,3.0,-2.131166385517514
0.7563093425308761,3.75,-1.3098569453484834
0.7563093425308761,4.5,-0.9288731675449964
0.7563093425308761,5.25,-0.6294439839963856
0.7563093425308761,6.0,-0.5053475331146523
0.8726646259971647,3.0,-2.7861512326950604
0.8726646259971647,3.75,-1.7402496222494241
0.8726646259971647,4.5,-1.2083644696036617
0.8726646259971647,5.25,-0.8570391825268401
0.8726646259971647,6.0,-0.6830235179115113
0.9890199094634533,3.0,-3.5099075123003414
0.9890199094634533,3.75,-2.1758201107116464
0.9890199094634533,4.5,-1.5436747400519037
0.9890199094634533,5.25,-1.093897729765383
0.9890199094634533,6.0,-0.8487883978753591
1.105375192929742,3.0,-4.387860172883024
1.105375192929742,3.75,-2.7089015422612306
1.105375192929742,4.5,-1.913129800895013
1.105375192929742,5.25,-1.3933295026864594
1.105375192929742,6.0,-1.0407919408579651
1.2217304763960306,3.0,-5.330997743297364
1.2217304763960306,3.75,-3.3008603777780854
1.2217304763960306,4.5,-2.3089329837325705
1.2217304763960306,5.25,-1.68856918420078
1.2217304763960306,6.0,-1.2566795914418354
